PortID;GlobalPortID;WorldPortNumber;MasterPOID;PortName;AlternativeName;Status;Country;LatitudeDecimal;LongitudeDecimal
10210;PS524600T000000B000000;PO5246;PO2799;Killingholme;;Sub-Port;United Kingdom;53,6683;-0,23145
10211;;PO5725;PO5299;Jakobshavn;;Alt-Name;Greenland;69,21666718;-51,1
10213;PO285100T000000B000000;PO2851;;Rye;;Open;United Kingdom;50,94926453;0,752884
10217;PS620400T000000B000000;PO6204;PO3354;Donaldsonville;;Sub-Port;United States Of America;30,1108333;-90,9874667
10218;PO237200T000000B000000;PO2372;;Punta Lobitos;;Open;Peru;-10,0943333;-78,1806667
10220;PO189300T000000B000000;PO1893;;Ashkelon;;Open;Israel;31,6362667;34,4894
10227;PO380900T000000B000000;PO3809;;Matsushima;;Open;Japan;32,9459167;129,5993667
10229;PO668300T000000B000000;PO6683;;Seldovia;;Open;United States Of America;59,43333435;-151,7166667
10230;PS716200T000000B000000;PO7162;PO5477;Metas (Limas);;Sub-Port;Turkey;38,76666641;26,91666667
10243;PO333000T000000B000000;PO3330;;Lazaro Cardenas;;Open;Mexico;17,9240333;-102,16365
10247;;PO5726;PO5289;Tasiilaq;;Alt-Name;Greenland;65,59999847;-37,66666794
10248;PO620500T000000B000000;PO6205;;Eureka;;Open;United States Of America;40,79999924;-124,1666667
10254;PO668400T000000B000000;PO6684;;Saxman;;Open;United States Of America;55,31666565;-131,6
10255;PO524700T000000B000000;PO5247;;New Holland;;Open;United Kingdom;53,7056808;-0,370328779
10257;PS716300T000000B000000;PO7163;PO5477;Cukurova;;Sub-Port;Turkey;38,76666641;26,91666667
10263;PO285200T000000B000000;PO2852;;St Helier;;Open;Jersey;49,17055;-2,1198167
10267;PO141500T000000B000000;PO1415;;Aabenraa;;Open;Denmark;55,0406667;9,4290667
10274;PS620600T000000B000000;PO6206;PO3354;Geismar;;Sub-Port;United States Of America;30,2022667;-91,02865
10275;;PO6685;PO6686;Village Cove;;Alt-Name;United States Of America;57,13333511;-170,2833333
10276;;PO5727;PO5291;Egedesminde;;Alt-Name;Greenland;68,7099;-52,8737167
10291;PO189500T000000B000000;PO1895;;Haifa;;Open;Israel;32,8224;35,0203833
10296;PO524800T000000B000000;PO5248;;Tetney Terminal;;Open;United Kingdom;53,5391734;0,1128668
10299;PO381100T000000B000000;PO3811;;Matsuyama;;Open;Japan;33,85465;132,7039
10304;PS716400T000000B000000;PO7164;PO5477;Nemtas;;Sub-Port;Turkey;38,76666641;26,93333333
10328;PO141600T000000B000000;PO1416;;Aalborg;;Open;Denmark;57,04999924;9,933333333
10335;PS620700T000000B000000;PO6207;PO6253;Gramercy;;Sub-Port;United States Of America;30,04999924;-90,68333333
10339;;PO5728;PO1719;Holsteinsborg;;Alt-Name;Greenland;66,9423;-53,6767333
10340;PO668600T000000B000000;PO6686;;St Paul;;Open;United States Of America;57,13333511;-170,2833333
10344;PO285400T000000B000000;PO2854;;St Peter Port;;Open;Guernsey;49,4569167;-2,5186833
10350;PO381200T000000B000000;PO3812;;Minamata;;Open;Japan;32,2079667;130,38255
10358;PO141700T000000B000000;PO1417;;Aarhus;;Open;Denmark;56,16035;10,2386167
10366;PS620800T000000B000000;PO6208;PO6248;Myrtle Grove;;Sub-Port;United States Of America;29,6316167;-89,91875
10367;;PO5729;PO5294;Godhavn;;Alt-Name;Greenland;69,25;-53,55
10369;PO141800T000000B000000;PO1418;;Aeroskobing;;Open;Denmark;54,8909833;10,4139
10404;PO189700T000000B000000;PO1897;;Ancona;;Open;Italy;43,6217833;13,4902333
10424;PO525000T000000B000000;PO5250;;Ipswich;;Open;United Kingdom;52,0345;1,1559
10434;PO668700T000000B000000;PO6687;;Dillingham;;Open;United States Of America;59,0375;-158,4666667
10435;;PO7166;PO1490;Arroyo Barril;;Alt-Name;Dominican Republic;19,1960167;-69,4478333
10444;PO285500T000000B000000;PO2855;;Scapa Flow;;Open;United Kingdom;58,88333511;-3
10446;PO381300T000000B000000;PO3813;;Mizushima;;Open;Japan;34,4833;133,7467
10449;PS620900T000000B000000;PO6209;PO6248;Ostrica;;Sub-Port;United States Of America;29,36666679;-89,53333333
10450;;PO5730;PO5290;Christianshaab;;Alt-Name;Greenland;68,81666565;-51,2
10453;PO189800T000000B000000;PO1898;;Anzio;;Open;Italy;41,4454167;12,6327833
10456;PO237700T000000B000000;PO2377;;Paramonga;;Open;Peru;-10,6842667;-77,8393333
10458;;PO7167;PO1490;Puerto Batadero;;Alt-Name;Dominican Republic;19,1960167;-69,4478333
10459;PO381400T000000B000000;PO3814;;Naha;;Open;Japan;26,2345333;127,6775
10466;PO525100T000000B000000;PO5251;;Port St Mary;;Open;Isle Of Man;54,0721667;-4,7329333
10469;PS668900T000000B000000;PO6689;PO2916;Superior;;Sub-Port;United States Of America;46,7456667;-92,10445
10471;PO285700T000000B000000;PO2857;;St Mary's (Isles of Scilly);;Open;United Kingdom;49,92108536;-6,310777916
10473;PS573100T000000B000000;PO5731;PO1979;Aboshi;;Sub-Port;Japan;34,7641667;134,56835
10475;PO237800T000000B000000;PO2378;;Pimentel;;Open;Peru;-6,8410333;-79,9446
10477;;PO7168;PO1490;El Botado;;Alt-Name;Dominican Republic;19,1960167;-69,4478333
10479;PO381500T000000B000000;PO3815;;Nanao;;Open;Japan;37,0617167;136,9897167
10485;PO142000T000000B000000;PO1420;;Assens;;Open;Denmark;55,2713333;9,8859667
10496;PO189900T000000B000000;PO1899;;Augusta;;Open;Italy;37,1992;15,21735
10497;PO621000T000000B000000;PO6210;;Piney Point;;Open;United States Of America;38,1326667;-76,5335333
10501;PO333600T000000B000000;PO3336;;Bullen Bay;;Open;Curacao;12,1833334;-69,03333333
10503;;PO6690;PO3700;Nosy Be;;Alt-Name;Madagascar;-13,39999962;48,28333333
10506;PO525300T000000B000000;PO5253;;Kilroot;;Open;United Kingdom;54,7253833;-5,73735
10511;PO285800T000000B000000;PO2858;;Scrabster;;Open;United Kingdom;58,6114833;-3,54235
10512;PO237900T000000B000000;PO2379;;Puerto Chicama;;Open;Peru;-7,69075;-79,4429167
10514;PO573200T000000B000000;PO5732;;Funabashi;;Open;Japan;35,67102432;139,9390404
10517;PO621100T000000B000000;PO6211;;Petersburg;;Open;United States Of America;56,8111333;-132,9687167
10521;PS716900T000000B000000;PO7169;PO3193;Ostermoor;;Sub-Port;Germany;53,9171667;9,1951667
10522;PO381600T000000B000000;PO3816;;Naoetsu;;Open;Japan;37,2066679;138,2633333
10527;PO142100T000000B000000;PO1421;;Bandholm;;Open;Denmark;54,8384833;11,4923167
10531;PS669100T000000B000000;PO6691;PO2253;Apapa;;Sub-Port;Nigeria;6,416666507;3,416666666
10534;PO525400T000000B000000;PO5254;;Kirkcudbright;;Open;United Kingdom;54,8384333;-4,0514333
10535;PO621200T000000B000000;PO6212;;Port Neches;;Open;United States Of America;29,9947167;-93,9424333
10544;PO190100T000000B000000;PO1901;;Bari;;Open;Italy;41,14495;16,8489833
10549;PO573300T000000B000000;PO5733;;Hibikinada;;Open;Japan;33,93333435;130,8333333
10551;PS717000T000000B000000;PO7170;PO3193;Elbeharbour;;Sub-Port;Germany;53,88333511;9,166666666
10563;PO142200T000000B000000;PO1422;;Copenhagen;;Open;Denmark;55,7080167;12,6270667
10569;PO285900T000000B000000;PO2859;;Seaham;;Open;United Kingdom;54,8372833;-1,3231833
10582;PO238000T000000B000000;PO2380;;Salaverry;;Open;Peru;-8,2241667;-78,9865833
10584;PO333800T000000B000000;PO3338;;Oranjestad (Sint Eustatius);;Open;St Eustatius;17,4790167;-62,9877833
10592;PO525500T000000B000000;PO5255;;Littlehampton;;Open;United Kingdom;50,81023026;-0,543839869
10594;PS621300T000000B000000;PO6213;PO6248;Port Sulphur;;Sub-Port;United States Of America;29,47355;-89,6836167
10597;PO190200T000000B000000;PO1902;;Barletta;;Open;Italy;41,3330833;16,29195
10599;PS573400T000000B000000;PO5734;PO1979;Hirohata;;Sub-Port;Japan;34,7814232;134,6307486
10604;PO238100T000000B000000;PO2381;;Samanco;;Open;Peru;-9,25205;-78,5013167
10607;PO142300T000000B000000;PO1423;;Ebeltoft;;Open;Denmark;56,1525167;10,6639333
10609;PO669200T000000B000000;PO6692;;Odudu Terminal;;Open;Nigeria;4,0017;7,7838
10612;PS717100T000000B000000;PO7171;PO1535;Walu Bay;;Sub-Port;Fiji;-18,1311833;178,4251333
10615;PO286000T000000B000000;PO2860;;Sharpness and Gloucester;;Open;United Kingdom;51,71675;-2,4855333
10632;PO333900T000000B000000;PO3339;;St Michiel's Bay;;Open;Curacao;12,1457167;-69,00475
10633;PS669300T000000B000000;PO6693;PO3088;Nha Be Oil Port;Saigon;Sub-Port;Vietnam;10,6833334;106,7833333
10635;PO142400T000000B000000;PO1424;;Ensted;;Open;Denmark;55,0256167;9,4502667
10640;PO238200T000000B000000;PO2382;;San Nicolas (Peru);;Open;Peru;-15,25;-75,23333333
10646;PS334000T000000B000000;PO3340;PO2238;El Bluff;;Sub-Port;Nicaragua;12;-83,68333333
10648;PO381900T000000B000000;PO3819;;Ofunato;;Open;Japan;39,04999924;141,7333333
10653;PO190300T000000B000000;PO1903;;Brindisi;;Open;Italy;40,6492;17,95925
10657;PO573500T000000B000000;PO5735;;Innoshima;;Open;Japan;34,2756333;133,1878833
10662;PO525600T000000B000000;PO5256;;Llanddulas;;Open;United Kingdom;53,2952333;-3,66665
10663;PO621400T000000B000000;PO6214;;Port Wentworth;;Open;United States Of America;32,1330333;-81,1417333
10664;PS717200T000000B000000;PO7172;PO2212;Santa Anna Bay;;Sub-Port;Curacao;12,11666679;-68,93333333
10667;PO286100T000000B000000;PO2861;;Shoreham;;Open;United Kingdom;50,8281333;-0,2478167
10673;PS669400T000000B000000;PO6694;PO3088;Cho-Lon;;Sub-Port;Vietnam;10,83333302;106,74935
10675;PO334100T000000B000000;PO3341;;Chiriqui Grande Terminal;;Open;Panama;8,9494667;-82,1102667
10685;PO142500T000000B000000;PO1425;;Esbjerg;;Open;Denmark;55,4641833;8,4250667
10688;PO621500T000000B000000;PO6215;;Yorktown;;Open;United States Of America;37,2276667;-76,4592167
10691;PS717300T000000B000000;PO7173;PO2212;Schottegat;;Sub-Port;Curacao;12,13333321;-68,95
10692;PO573600T000000B000000;PO5736;;Kainan;;Open;Japan;34,14368057;135,2117263
10696;PO382000T000000B000000;PO3820;;Omaezaki;;Open;Japan;34,6117833;138,2216333
10702;PO238300T000000B000000;PO2383;;Supe;;Open;Peru;-10,80000019;-77,73333333
10703;PS669500T000000B000000;PO6695;PO3088;Ben Nghe;;Sub-Port;Vietnam;10,83333302;106,8333333
10705;PO142600T000000B000000;PO1426;;Faaborg;;Open;Denmark;55,0999987;10,25
10709;PO286300T000000B000000;PO2863;;Silloth;;Open;United Kingdom;54,87;-3,3990833
10713;PO525800T000000B000000;PO5258;;Lochmaddy;;Open;United Kingdom;57,5959;-7,1552667
10715;PS573700T000000B000000;PO5737;PO3796;Kakogawa;;Sub-Port;Japan;34,7077167;134,8300333
10721;PO621600T000000B000000;PO6216;;Jose Terminal;;Open;Venezuela;10,1109167;-64,87425
10722;PO190500T000000B000000;PO1905;;Carloforte;;Open;Italy;39,15647888;8,302115631
10724;PS717400T000000B000000;PO7174;PO2212;Emmastad;;Sub-Port;Curacao;12,13333321;-68,95
10725;PO238400T000000B000000;PO2384;;Talara;;Open;Peru;-4,566666603;-81,28333333
10729;PO382100T000000B000000;PO3821;;Owase;;Open;Japan;34,0750667;136,2312833
10730;PO669600T000000B000000;PO6696;;Santa Panagia Oil Terminal;;Open;Italy;37,1204167;15,2661
10734;PO621700T000000B000000;PO6217;;Venalum Terminal;;Open;Venezuela;8,2912357;-62,8350167
10744;PO190600T000000B000000;PO1906;;Castellammare di Stabia;;Open;Italy;40,6984333;14,4752
10747;;PO7175;PO3706;Emu Bay;Burnie;Alt-Name;Australia;-41,0473333;145,9235167
10748;PO573800T000000B000000;PO5738;;Kasaoka;;Open;Japan;34,4548167;133,4724167
10751;PO382200T000000B000000;PO3822;;Rumoi;;Open;Japan;43,9477333;141,6378667
10811;PO286400T000000B000000;PO2864;;Southampton;;Open;United Kingdom;50,9001667;-1,4292833
10830;PS621800T000000B000000;PO6218;PO6243;Ben Thuy;;Sub-Port;Vietnam;18,6602333;105,7108
10834;PO190700T000000B000000;PO1907;;Catania;;Open;Italy;37,4939833;15,096
10839;PS669700T000000B000000;PO6697;PO3639;Porto Marmoreo;;Sub-Port;Italy;37,0675833;15,29075
10840;PS717600T000000B000000;PO7176;PO3457;English Bay;Gerogetown (Ascension);Sub-Port;St Helena;-7,883333206;-14,38333333
10851;PO286500T000000B000000;PO2865;;Stornoway;;Open;United Kingdom;58,2052833;-6,38985
10852;PO573900T000000B000000;PO5739;;Kinwan;;Open;Japan;26,4068;127,9276
10860;PO334400T000000B000000;PO3344;;Matarani;;Open;Peru;-17;-72,1
10864;PO382300T000000B000000;PO3823;;Saganoseki;;Open;Japan;33,2529833;131,8675333
10871;PO526100T000000B000000;PO5261;;Macduff;;Open;United Kingdom;57,6711333;-2,50065
10872;PS238700T000000B000000;PO2387;PO6173;Anakan;Gingoog;Sub-Port;Philippines;8,850000381;125,15
10873;PS669800T000000B000000;PO6698;PO3721;Khulna;;Sub-Port;Bangladesh;22,79999924;89,58333333
10878;PO190800T000000B000000;PO1908;;Chioggia;;Open;Italy;45,2317333;12,287
10884;PO574000T000000B000000;PO5740;;Kudamatsu;;Open;Japan;34,0029;131,8550667
10888;PS717700T000000B000000;PO7177;PO3457;Clarence Bay;Georgetown (Ascension);Sub-Port;St Helena;-7,933333396;-14,41666667
10889;PO382400T000000B000000;PO3824;;Saiki;;Open;Japan;32,9787333;131,9077333
10893;PO286600T000000B000000;PO2866;;Stranraer;;Open;United Kingdom;54,9119667;-5,0279667
10894;PO621900T000000B000000;PO6219;;Nha Trang;;Open;Vietnam;12,20365;109,2167333
10900;PO142900T000000B000000;PO1429;;Frederikshavn;;Open;Denmark;57,4342667;10,5512333
10904;;PO6699;PO1554;Parainen;;Alt-Name;Finland;60,2815667;22,2900833
10914;PO190900T000000B000000;PO1909;;Civitavecchia;;Open;Italy;42,1107833;11,7658
10918;PO526200T000000B000000;PO5262;;Mallaig;;Open;United Kingdom;57,0081333;-5,8257833
10919;PS717800T000000B000000;PO7178;PO1294;Berrypoint;;Sub-Port;Canada;49,2913833;-122,9730667
10921;PO286700T000000B000000;PO2867;;Stromness;;Open;United Kingdom;58,95000076;-3,283333333
10929;PO382500T000000B000000;PO3825;;Sakaiminato;;Open;Japan;35,53315;133,2541167
10933;PO622000T000000B000000;PO6220;;Quy Nhon;;Open;Vietnam;13,7666667;109,25
10936;;PO6700;PO1538;Tammisaari;;Alt-Name;Finland;59,96666718;23,43333333
10937;PO143100T000000B000000;PO1431;;Frederiksvaerk;;Open;Denmark;55,9596667;12,0097167
10940;PO382600T000000B000000;PO3826;;Tagonoura;;Open;Japan;35,1416;138,6930167
10949;PO191000T000000B000000;PO1910;;Crotone;;Open;Italy;39,08333206;17,13333333
10953;PS717900T000000B000000;PO7179;PO2525;Escombreras;;Sub-Port;Spain;37,56037521;-0,944892331
10954;PS574200T000000B000000;PO5742;PO1979;Mega;;Sub-Port;Japan;34,7689986;134,6856202
10956;PO622100T000000B000000;PO6221;;Vung Tau;;Open;Vietnam;10,3917667;107,0919667
10966;PO526300T000000B000000;PO5263;;Milford Haven;;Open;United Kingdom;51,6946;-5,0901
10974;PS622200T000000B000000;PO6222;PO3090;Charlotte Amalie;;Sub-Port;Virgin Islands, Us;18,33333397;-64,93333333
10975;PO191100T000000B000000;PO1911;;Gaeta;;Open;Italy;41,21659088;13,57430431
10983;PO239000T000000B000000;PO2390;;Bais;;Open;Philippines;9,533333778;123,1333333
10986;PO143200T000000B000000;PO1432;;Graasten;;Open;Denmark;54,91666794;9,6
10990;PS718000T000000B000000;PO7180;PO2631;Tunadalshamnen;;Sub-Port;Sweden;62,41666794;17,38333333
11003;PO286900T000000B000000;PO2869;;Sunderland;;Open;United Kingdom;54,9185667;-1,3572333
11009;PO574300T000000B000000;PO5743;;Mitsukojima;;Open;Japan;34,1955667;132,5098333
11019;PO334900T000000B000000;PO3349;;Basseterre;;Open;St Kitts & Nevis;17,28605;-62,72035
11021;PO191200T000000B000000;PO1912;;Gallipoli (Italy);;Open;Italy;40,0582833;17,9800667
11023;PS718100T000000B000000;PO7181;PO2631;Soraker;;Sub-Port;Sweden;62,5;17,5
11024;PS574400T000000B000000;PO5744;PO2011;Mukaishima;;Sub-Port;Japan;34,38333511;133,2
11027;PO622300T000000B000000;PO6223;;Ash Shihr;;Open;Yemen;14,6906167;49,5052167
11029;PO382800T000000B000000;PO3828;;Tomakomai;;Open;Japan;42,61666489;141,6166667
11033;PS670200T000000B000000;PO6702;PO3727;Dagang (Dalian);;Sub-Port;China, People's Republic Of;38,9500013;121,65
11044;PO143300T000000B000000;PO1433;;Grenaa;;Open;Denmark;56,4109667;10,92765
11049;PO239100T000000B000000;PO2391;;Batangas;;Open;Philippines;13,7561333;121,0367833
11062;PO287000T000000B000000;PO2870;;Swansea;;Open;United Kingdom;51,61666489;-3,916666666
11069;PS670300T000000B000000;PO6703;PO3727;Xianglujiao;;Sub-Port;China, People's Republic Of;38,9500013;121,6166667
11070;PS622400T000000B000000;PO6224;PO3102;Ras Alkatheeb;;Sub-Port;Yemen;14,9125333;42,8935167
11081;PO526600T000000B000000;PO5266;;Newport (South Wales);;Open;United Kingdom;51,5472833;-2,98565
11099;PO143400T000000B000000;PO1434;;Gulfhavn;;Open;Denmark;55,1983341;11,25385
11106;PS718200T000000B000000;PO7182;PO2631;Kubikenborg;;Sub-Port;Sweden;62,38333511;17,33333333
11108;PS574500T000000B000000;PO5745;PO1979;Shikama;;Sub-Port;Japan;34,7797499;134,6616167
11111;PO335000T000000B000000;PO3350;;Cul-de-Sac;;Open;St Lucia;13,9885167;-61,0219333
11114;PO287100T000000B000000;PO2871;;Teesport;;Open;United Kingdom;54,6345333;-1,1547
11128;PS670400T000000B000000;PO6704;PO3727;Ganjingzi;;Sub-Port;China, People's Republic Of;38,95925;121,6363
11134;PO526700T000000B000000;PO5267;;Newport (Isle Of Wight);;Open;United Kingdom;50,7075;-1,2907167
11140;PO287200T000000B000000;PO2872;;Teignmouth;;Open;United Kingdom;50,5444333;-3,5005167
11143;PO622500T000000B000000;PO6225;;Ras Isa Marine Terminal;;Open;Yemen;15,1166333;42,5997333
11145;PO335100T000000B000000;PO3351;;Galeota Point;;Open;Trinidad & Tobago;10,138;-61,0023667
11148;PS718300T000000B000000;PO7183;PO2631;Stockvik;;Sub-Port;Sweden;62,33333206;17,36666667
11149;PO574600T000000B000000;PO5746;;Tonda;;Open;Japan;34,0629;131,7418833
11151;PO239300T000000B000000;PO2393;;Cagayan de Oro;;Open;Philippines;8,4827667;124,7219
11174;PO191400T000000B000000;PO1914;;Genoa;;Open;Italy;44,40485;8,8623167
11175;PS670500T000000B000000;PO6705;PO3727;Siergou;;Sub-Port;China, People's Republic Of;38,9333346;121,6833333
11176;PO143600T000000B000000;PO1436;;Elsinore;;Open;Denmark;56,03333282;12,61666667
11180;;PO6226;PO1408;Xeros;;Alt-Name;Cyprus;35,13333511;32,81666667
11182;PO335200T000000B000000;PO3352;;Scarborough (T & T);;Open;Trinidad & Tobago;11,1833334;-60,73333333
11184;PO191500T000000B000000;PO1915;;La Maddalena (Sardinia);;Open;Italy;41,2120333;9,4125667
11187;PS718400T000000B000000;PO7184;PO2631;Ostrand;;Sub-Port;Sweden;62,48333359;17,33333333
11193;PO526800T000000B000000;PO5268;;Padstow;;Open;United Kingdom;50,5416167;-4,93475
11195;PO574700T000000B000000;PO5747;;Toyama;;Open;Japan;36,7661167;137,2273333
11202;PO239400T000000B000000;PO2394;;Cebu;;Open;Philippines;10,30000019;123,9
11207;PO287300T000000B000000;PO2873;;Torbay Harbour;;Open;United Kingdom;50,46478271;-3,543644819
11212;PS670600T000000B000000;PO6706;PO3727;Nianyuwan;;Sub-Port;China, People's Republic Of;38,9833346;121,9
11217;;PO5748;PO1101;Western Port;Hastings;Alt-Name;Australia;-38,3944;145,2465833
11218;PS622700T000000B000000;PO6227;PO1498;Balao Terminal;Esmeraldas;Sub-Port;Ecuador;1,033333301;-79,73333333
11219;PS718500T000000B000000;PO7185;PO2631;Ortviken;;Sub-Port;Sweden;62,40000153;17,36666667
11228;PO143700T000000B000000;PO1437;;Hirtshals;;Open;Denmark;57,58333206;9,95
11230;PO383200T000000B000000;PO3832;;Wakkanai;;Open;Japan;45,4137167;141,69715
11235;PO526900T000000B000000;PO5269;;Peterhead Bay Harbour;;Open;United Kingdom;57,4969167;-1,7736833
11265;PO191600T000000B000000;PO1916;;La Spezia;;Open;Italy;44,0775;9,8637667
11269;PO191700T000000B000000;PO1917;;Licata;;Open;Italy;37,09425;13,9381667
11271;PO287500T000000B000000;PO2875;;Trent Wharves;;Open;United Kingdom;53,6631;-0,6918
11275;;PO6228;PO1516;La Union;Cutuco;Alt-Name;El Salvador;13,333333;-87,81666667
11276;PS670700T000000B000000;PO6707;PO3727;Heizuizi;;Sub-Port;China, People's Republic Of;38,9333346;121,6166667
11277;PS527000T000000B000000;PO5270;PO2840;Cattewater Harbour;Plymouth;Sub-Port;United Kingdom;50,361;-4,11655
11279;PO574900T000000B000000;PO5749;;Campbell River;;Open;Canada;50,01666641;-125,25
11283;PO335400T000000B000000;PO3354;;Greater Baton Rouge;;Open;United States Of America;30,4486833;-91,1961333
11291;PS718600T000000B000000;PO7186;PO2303;Sjursoya;;Sub-Port;Norway;59,91557312;10,72278593
